OBJECTID,YEAR_,STATE,AGENCY,Fire Name,Alarm Date,Containment Date,Cause,Collection Method,Management Objective,GIS Calculated Acres,Decades,Shape__Area,Shape__Length
1,2025,CA,USF,GIFFORD,8/1/2025,10/14/2025,14,3,1,131613.5,2020-2025,798129287.8,315035.2577
2,2025,CA,USF,MADRE,7/2/2025,7/26/2025,14,7,1,80779.1,2020-2025,489691304.5,234788.8702
3,2025,CA,USF,GARNET,8/24/2025,10/23/2025,1,3,1,60019.23,2020-2025,381019801.1,293948.4282
4,2025,CA,CDF,SALT,9/2/2025,9/17/2025,1,7,1,25553.55,2020-2025,158299234.4,111440.0928
5,2025,CA,CDF,PALISADES,1/7/2025,1/31/2025,14,7,1,23448.88,2020-2025,138651835,140231.6082
6,2025,CA,USF,BUTLER,7/4/2025,9/11/2025,14,7,1,21057.61,2020-2025,151016558.6,134217.7349
7,2025,CA,USF,GREEN,7/2/2025,8/14/2025,1,3,1,19021.99,2020-2025,134608787.7,85187.85554
8,2025,CA,CDF,EATON,1/8/2025,1/31/2025,14,7,1,14056.26,2020-2025,83363928.89,104933.2072
9,2025,CA,USF,DILLON,8/25/2025,11/6/2025,1,7,1,11929.38,2020-2025,86263960.68,102086.7727
10,2025,CA,CDF,HUGHES,1/22/2025,1/28/2025,14,7,1,10396.8,2020-2025,62160638.91,96698.59986
11,2025,CA,CDF,6-5,9/2/2025,9/13/2025,1,3,1,6957.999,2020-2025,45223302.84,63515.06818
12,2025,CA,CDF,PICKETT,8/21/2025,9/7/2025,14,1,1,6822.29,2020-2025,45303667.38,73289.32042
13,2025,CA,CDF,BORDER 2,1/23/2025,1/29/2025,5,4,1,6629.878,2020-2025,37923149.96,83113.64977
14,2025,CA,CCO,CANYON,8/6/2025,8/11/2025,14,2,1,5367.721,2020-2025,32035257.53,56639.82675
15,2025,CA,CDF,1-4,9/2/2025,9/4/2025,1,3,1,4451.064,2020-2025,28482286.59,40189.5384
16,2025,CA,CCO,DOGS,6/13/2025,6/15/2025,14,2,1,4406.828,2020-2025,27013936.75,28776.41629
17,2025,CA,BLM,JAW,5/19/2025,6/1/2025,11,7,1,4326.964,2020-2025,26357809.65,50579.21566
18,2025,CA,BLM,RANCH,6/10/2025,6/19/2025,14,3,1,4291.886,2020-2025,25570246.14,39945.269
19,2025,CA,USF,BLUE,8/27/2025,10/13/2025,1,7,1,3712.53,2020-2025,27048473.45,48789.64442
20,2025,CA,CDF,2-2,9/2/2025,9/6/2025,1,3,1,3462.842,2020-2025,22557714.14,33702.6641
21,2025,CA,USF,MAMMOTH,7/25/2025,8/1/2025,1,8,1,2534.267,2020-2025,18422585.84,33074.41391
22,2025,CA,USF,LITTLE,8/22/2025,9/1/2025,14,7,1,2506.547,2020-2025,15371464.36,29386.20786
23,2025,CA,CDF,WOLF,6/29/2025,7/14/2025,9,3,1,2413.62,2020-2025,14210929.93,27052.84617
24,2025,CA,USF,PACK,11/13/2025,12/3/2025,9,4,1,1974.433,2020-2025,12744696.1,34255.234
25,2025,CA,CDF,SPRINGS,5/6/2025,5/7/2025,10,1,1,1817,2020-2025,11178162.54,19095.49631
26,2025,CA,CDF,ROSA,8/4/2025,8/12/2025,14,7,1,1670.898,2020-2025,9766861.57,26015.13839
27,2025,CA,CDF,BITTER,6/14/2025,6/14/2025,2,7,1,1663.73,2020-2025,10189057.94,18907.38277
28,2025,CA,CDF,SILVER,3/30/2025,4/8/2025,7,5,1,1605.057,2020-2025,9716010.898,34122.49747
29,2025,CA,CDF,2-8,9/2/2025,9/9/2025,1,3,1,1339.798,2020-2025,8719001.695,17013.11879
30,2025,CA,USF,LOG,8/26/2025,10/2/2025,1,7,1,1169.689,2020-2025,8424261.32,30080.06079
31,2025,CA,CDF,MONTE,6/19/2025,6/24/2025,7,3,1,1051.101,2020-2025,6050571.105,18196.47169
32,2025,CA,CDF,DALE,7/16/2025,7/22/2025,14,7,1,1038.642,2020-2025,6062704.34,19915.2754
33,2025,CA,USF,GOLD,8/4/2025,8/16/2025,14,7,1,1036.112,2020-2025,6163433.773,22309.56903
34,2025,CA,CDF,6-2,9/2/2025,9/13/2025,1,3,1,1024.863,2020-2025,6649887.605,18314.45533
35,2025,CA,CCO,KENNETH,1/9/2025,1/11/2025,14,7,1,1011.711,2020-2025,5996578.047,16909.8111
36,2025,CA,USF,MOUNTAIN,8/11/2025,8/16/2025,1,8,1,979.9208,2020-2025,7132893.598,15371.50389
37,2025,CA,USF,BIG CLIFF,7/31/2025,9/11/2025,1,3,1,973.5111,2020-2025,6986276.449,36701.81391
38,2025,CA,USF,DEMOCRAT,5/18/2025,5/27/2025,14,8,1,902.7862,2020-2025,5520756.773,17476.70987
39,2025,CA,CDF,DIAS,6/25/2025,6/26/2025,7,3,1,852.0876,2020-2025,5286583.777,19569.51728
40,2025,CA,CDF,HURST,1/7/2025,1/9/2025,14,7,1,831.3855,2020-2025,4946081.875,16094.21707
41,2025,CA,USF,ROOT,9/1/2025,11/1/2025,4,7,1,728.6754,2020-2025,5209331.531,17629.48047
42,2025,CA,BLM,INN,5/22/2025,6/4/2025,14,7,1,726.5966,2020-2025,4744433.906,27421.69714
43,2025,CA,USF,SUMMIT,7/1/2025,8/2/2025,1,7,1,701.2705,2020-2025,5066675.441,31699.75207
44,2025,CA,CCO,FAY,7/15/2025,7/22/2025,14,2,1,648.1592,2020-2025,3990011.336,21578.55507
45,2025,CA,CDF,ACRES,5/14/2025,5/15/2025,5,2,1,631.9116,2020-2025,4025647.059,14774.67827
46,2025,CA,CDF,COYOTE,8/20/2025,8/24/2025,7,3,1,623.9064,2020-2025,4132353.949,13651.25587
47,2025,CA,CDF,2-7,9/2/2025,9/9/2025,1,3,1,615.7525,2020-2025,4030989.734,20270.27449
48,2025,CA,CCO,HUDSON,6/13/2025,6/15/2025,14,4,1,610.8146,2020-2025,3689082.438,9554.585745
49,2025,CA,CDF,LITTLE,6/11/2025,6/11/2025,11,2,1,592.3416,2020-2025,3729108.438,13868.71138
50,2025,CA,USF,KING,8/14/2025,8/17/2025,14,2,1,577.1489,2020-2025,3464733.543,10531.72914
51,2025,CA,CDF,JUNIPER,6/30/2025,7/2/2025,2,3,1,560.1605,2020-2025,4541953.512,15996.42509
52,2025,CA,USF,PEAK,8/25/2025,9/28/2025,1,7,1,505.3025,2020-2025,3583515.652,17771.48691
53,2025,CA,CDF,LAKE,6/28/2025,7/6/2025,14,2,1,488.7244,2020-2025,2904920.145,18087.66092
54,2025,CA,CCO,HAWK,8/14/2025,8/17/2025,14,2,1,480.2473,2020-2025,2871297.938,12227.07826
55,2025,CA,CDF,FIRESTONE,6/12/2025,6/19/2025,10,3,1,472.0678,2020-2025,2931607.754,10504.33926
56,2025,CA,CDF,18-1,9/2/2025,9/2/2025,1,7,1,463.0268,2020-2025,3077458.809,10146.7185
57,2025,CA,CDF,NELLA,5/17/2025,5/17/2025,10,4,1,458.0139,2020-2025,3340077.516,9569.04823
58,2025,CA,USF,HORSE,7/2/2025,7/9/2025,1,8,1,430.1073,2020-2025,3047393.688,8383.156766
59,2025,CA,CDF,PANOCHE,8/7/2025,8/11/2025,9,5,1,422.5481,2020-2025,2660489.309,12819.54126
60,2025,CA,CDF,RUN,5/26/2025,5/26/2025,7,2,1,420.0106,2020-2025,2682039.512,11907.05578
61,2025,CA,CDF,BRIDGE,7/7/2025,7/9/2025,10,2,1,419.0038,2020-2025,2907015.402,12993.40198
62,2025,CA,USF,MAX,7/13/2025,7/22/2025,9,3,1,410.0221,2020-2025,2604345.102,11780.25626
63,2025,CA,USF,LAKE,8/27/2025,8/28/2025,1,1,1,398.1307,2020-2025,2907248.977,8413.118022
64,2025,CA,CDF,LAKE,8/3/2025,8/4/2025,14,7,1,397.7174,2020-2025,2667059.609,8552.116972
65,2025,CA,CCO,FORT,6/5/2025,6/6/2025,14,4,1,389.011,2020-2025,2277823.934,10069.58022
66,2025,CA,CDF,CAMINO,6/20/2025,6/21/2025,10,1,1,385.9513,2020-2025,2503097.988,6873.558063
67,2025,CA,LRA,TWISSELMAN,6/24/2025,6/25/2025,14,1,1,383.8156,2020-2025,2361850.09,6768.010998
68,2025,CA,USF,GIANELLI,11/2/2025,11/14/2025,1,7,1,373.5635,2020-2025,2450775.168,22105.84583
69,2025,CA,CDF,SOMERSVILLE,6/18/2025,6/19/2025,4,1,1,358.065,2020-2025,2335746.73,9010.283297
70,2025,CA,CDF,LIDIA,1/8/2025,1/11/2025,14,7,1,347.7042,2020-2025,2073567,11177.24654
71,2025,CA,CDF,REEF,4/26/2025,4/26/2025,11,3,1,336.357,2020-2025,2074349.891,7496.749638
72,2025,CA,BLM,ALPAUGH,8/14/2025,,14,6,1,325.8804,2020-2025,2011569.438,6844.315424
73,2025,CA,CDF,IDRIA,5/17/2025,5/18/2025,9,3,1,310.3296,2020-2025,1949441.547,7846.161235
74,2025,CA,USF,BUMMER,10/29/2025,11/6/2025,1,1,1,294.2364,2020-2025,1936707.461,8460.384502
75,2025,CA,CDF,2-3,9/2/2025,9/9/2025,1,3,1,285.2508,2020-2025,1859470.684,8374.833706
76,2025,CA,LRA,LOST HILLS,8/23/2025,8/23/2025,14,1,1,277.9433,2020-2025,1707593.383,6252.440919
77,2025,CA,CDF,DINO,6/11/2025,6/11/2025,2,2,1,266.039,2020-2025,1694351.02,7023.732331
78,2025,CA,CDF,MEDICINE,7/27/2025,8/3/2025,4,1,1,262.8339,2020-2025,1805953.773,6682.473208
79,2025,CA,CDF,MIDWAY,5/22/2025,5/22/2025,11,4,1,261.463,2020-2025,2065589.98,12568.88571
80,2025,CA,CDF,1-4 PEAK,7/31/2025,8/3/2025,7,2,1,259.6483,2020-2025,1816151.301,6995.2424
81,2025,CA,CDF,HENDERSON,5/31/2025,6/2/2025,14,3,1,255.4313,2020-2025,1486538.57,7599.449567
82,2025,CA,USF,SAGE,10/27/2025,11/13/2025,1,6,1,254.1042,2020-2025,1650226.754,5239.384835
83,2025,CA,CDF,HEATHER,8/14/2025,8/14/2025,2,5,1,228.574,2020-2025,1672614.57,8973.82791
84,2025,CA,NPS,EUREKA,5/30/2025,6/9/2025,14,8,1,213.8287,2020-2025,1264134.945,9973.101076
85,2025,CA,CDF,BONEYARD 2,7/26/2025,7/27/2025,10,3,1,202.3712,2020-2025,1312950.707,8723.444447
86,2025,CA,CDF,BONANZA,6/17/2025,6/18/2025,2,3,1,181.2267,2020-2025,1204439.973,8080.108405
87,2025,CA,LRA,CATLETT,5/10/2025,5/10/2025,14,2,1,176.425,2020-2025,1179044.457,6425.518095
88,2025,CA,CCO,GRANITE,6/24/2025,6/24/2025,14,2,1,174.4417,2020-2025,1067942.148,4585.112947
89,2025,CA,CDF,HORNITOS 1-2,9/2/2025,9/3/2025,1,1,1,166.9535,2020-2025,1076275.082,5765.251293
90,2025,CA,CDF,BROWN,9/2/2025,9/7/2025,1,1,1,166.7195,2020-2025,1101991.137,5521.462803
91,2025,CA,LRA,WILDWOOD,8/9/2025,8/10/2025,14,1,1,158.709,2020-2025,976899.875,4617.970934
92,2025,CA,USF,RICHBAR,8/9/2025,8/16/2025,14,6,1,158.3233,2020-2025,968127.1523,4244.342742
93,2025,CA,CDF,RANCHO,6/19/2025,6/20/2025,5,3,1,156.8465,2020-2025,1096012.738,6185.509353
94,2025,CA,LRA,65,5/27/2025,5/28/2025,14,1,1,151.1339,2020-2025,923731.1484,8856.701667
95,2025,CA,CDF,1-3,9/2/2025,9/4/2025,1,3,1,150.8438,2020-2025,965567.9414,4449.382689
96,2025,CA,CDF,ROCK,9/2/2025,9/5/2025,1,1,1,146.8478,2020-2025,974124.0898,8902.694947
97,2025,CA,USF,CALLBOX,1/5/2025,1/5/2025,7,8,1,145.0597,2020-2025,867934.5742,4381.355483
98,2025,CA,BLM,R-3 WILLOW,8/24/2025,8/29/2025,1,7,1,144.4809,2020-2025,1010695.008,5620.326008
99,2025,CA,LRA,WEST,6/7/2025,6/8/2025,14,1,1,142.0538,2020-2025,870824.1797,8139.115337
100,2025,CA,CDF,BOGGS,9/10/2025,9/10/2025,1,1,1,135.0296,2020-2025,931223.6445,4529.239535
101,2025,CA,CDF,CAHUILLA,6/10/2025,6/10/2025,14,3,1,133.8233,2020-2025,781334.1797,4820.689663
102,2025,CA,CDF,SADDLE,6/26/2025,6/30/2025,9,1,1,131.8539,2020-2025,825255.7813,7036.371426
103,2025,CA,CCO,LIERLY,8/23/2025,8/23/2025,14,1,1,131.3383,2020-2025,793806.3516,4936.757247
104,2025,CA,CDF,CLAYPIT,8/4/2025,8/4/2025,7,3,1,131.1089,2020-2025,865460.7813,3819.451165
105,2025,CA,LRA,RANCH,8/4/2025,8/4/2025,14,1,1,125.0502,2020-2025,835440.9805,5096.516778
106,2025,CA,CDF,TIGER,8/8/2025,8/9/2025,7,3,1,117.527,2020-2025,776344.5,5164.202605
107,2025,CA,USF,RED,7/7/2025,,1,7,1,115.8292,2020-2025,836238.332,6256.616733
108,2025,CA,USF,HELENA,7/3/2025,7/9/2025,1,8,1,114.1198,2020-2025,806585.5078,4994.327076
109,2025,CA,CDF,CROSSING,5/20/2025,5/21/2025,14,2,1,112.0008,2020-2025,653033.0078,4421.696575
110,2025,CA,USF,FRAZIER,5/29/2025,6/8/2025,10,6,1,109.9302,2020-2025,661640.1055,5453.592775
111,2025,CA,CDF,RANCHO 3,10/9/2025,10/9/2025,10,3,1,104.9052,2020-2025,606281.3086,4300.732689
112,2025,CA,CDF,BYERS,6/4/2025,6/4/2025,9,1,1,104.5473,2020-2025,728890.4961,5964.915086
113,2025,CA,USF,HOWARDS,7/31/2025,8/3/2025,1,6,1,100.6936,2020-2025,726606.6992,4273.564833
114,2025,CA,CDF,TABLE ROCK,6/10/2025,6/13/2025,1,1,1,98.71336,2020-2025,717263.0547,4288.184822
115,2025,CA,LRA,PYRITE,7/7/2025,7/8/2025,14,3,1,98.19131,2020-2025,3252772.348,12477.73417
116,2025,CA,BLM,R-10 SPANISH,8/25/2025,8/26/2025,1,7,1,97.00241,2020-2025,684730.918,4026.733518
117,2025,CA,USF,CEDAR,9/2/2025,9/16/2025,14,3,1,91.45392,2020-2025,639004.2188,6016.659118
118,2025,CA,USF,ABERDEEN,8/25/2025,9/1/2025,14,7,1,90.84187,2020-2025,576737.9023,7642.498991
119,2025,CA,CDF,RUNNER,8/8/2025,8/8/2025,9,3,1,88.39762,2020-2025,506467.2383,4445.851436
120,2025,CA,CDF,PONDEROSA,8/10/2025,8/15/2025,2,3,1,87.2483,2020-2025,591862.3984,5311.157848
121,2025,CA,CDF,YORK,8/24/2025,8/24/2025,1,1,1,86.16303,2020-2025,628785.5352,5087.280817
122,2025,CA,CDF,LILAC 2,1/21/2025,1/25/2025,7,3,1,80.53833,2020-2025,467876.957,4846.651285
123,2025,CA,CDF,FORD,6/3/2025,6/3/2025,14,4,1,80.3026,2020-2025,507168.7852,3983.089789
124,2025,CA,CDF,GROVE,7/4/2025,7/6/2025,7,3,1,78.17875,2020-2025,530164.6953,6669.007623
125,2025,CA,FWS,LODGE,9/5/2025,9/13/2025,4,1,1,77.02348,2020-2025,441652.4727,3982.15264
126,2025,CA,CCO,BROWN,7/27/2025,7/27/2025,14,1,1,76.71473,2020-2025,470220.8398,3908.965141
127,2025,CA,LRA,ELECTRICAL ,5/3/2025,5/3/2025,14,1,1,75.40412,2020-2025,462699.9141,3321.6903
128,2025,CA,CDF,MINDY,6/29/2025,7/2/2025,2,3,1,72.54568,2020-2025,639651.3477,5872.764193
129,2025,CA,LRA,POND,6/13/2025,6/14/2025,14,1,1,71.13763,2020-2025,437722.3477,2781.921533
130,2025,CA,BLM,HONOLULU,6/1/2025,6/2/2025,11,7,1,69.44583,2020-2025,421287.5039,3977.054648
131,2025,CA,CDF,DUCK,5/14/2025,5/14/2025,2,2,1,68.18237,2020-2025,444107.0313,3479.735317
132,2025,CA,CDF,SCISSORS 2,11/2/2025,11/2/2025,14,3,1,68.07378,2020-2025,393622.1836,4053.372237
133,2025,CA,CDF,PIONEER,5/4/2025,5/4/2025,14,1,1,68.01633,2020-2025,472901.4688,4258.059426
134,2025,CA,CDF,BERRY,8/8/2025,8/14/2025,2,3,1,67.19569,2020-2025,447095.1328,3147.809005
135,2025,CA,CCO,LAGUNA,1/23/2025,1/26/2025,14,3,1,66.50694,2020-2025,394078.5156,3065.811949
136,2025,CA,NPS,BLACK ROCK,10/12/2025,10/22/2025,5,8,1,66.43217,2020-2025,392719.6719,7279.020073
137,2025,CA,CDF,CREEK,5/15/2025,5/15/2025,14,1,1,66.24147,2020-2025,427048.4609,3283.676921
138,2025,CA,LRA,TAFT,10/7/2025,10/8/2025,14,6,1,66.06812,2020-2025,401939.5859,2965.362601
139,2025,CA,CDF,PASKENTA,8/25/2025,8/25/2025,1,1,1,65.22432,2020-2025,450356.8711,4713.426085
140,2025,CA,CCO,BEALVILLE,5/31/2025,5/31/2025,14,1,1,62.99349,2020-2025,383412.8008,2561.172143
141,2025,CA,LRA,AUTO,1/13/2025,1/19/2025,14,3,1,60.93997,2020-2025,361721.5977,3768.297684
142,2025,CA,CDF,RECTOR,6/2/2025,6/5/2025,10,3,1,60.63538,2020-2025,383108.9297,4070.146229
143,2025,CA,CDF,BORDER 18,11/8/2025,11/9/2025,9,6,1,60.55587,2020-2025,346222.3945,3052.16157
144,2025,CA,CCO,WOODY,7/25/2025,7/25/2025,14,1,1,60.52179,2020-2025,371395.3867,3485.050608
145,2025,CA,CDF,FELIPE,5/1/2025,5/1/2025,2,4,1,59.91574,2020-2025,329227.6641,3299.102228
146,2025,CA,CCO,WIND,8/12/2025,8/12/2025,14,1,1,59.40875,2020-2025,341616.8789,4290.849802
147,2025,CA,LRA,MARIA,6/16/2025,6/16/2025,14,7,1,58.63367,2020-2025,348882.0625,3893.399744
148,2025,CA,CDF,BAXTER,5/15/2025,5/16/2025,14,3,1,58.50809,2020-2025,342290.7734,3852.705815
149,2025,CA,USF,FLUME,7/6/2025,7/15/2025,10,8,1,58.28129,2020-2025,362604.3945,4655.693371
150,2025,CA,LRA,SUNSET,5/18/2025,5/18/2025,10,1,1,57.56446,2020-2025,384384.0117,3052.555423
151,2025,CA,CDF,BEALE AFB GRASS VALLEY GATE,5/23/2025,5/23/2025,14,1,1,56.78709,2020-2025,382288.3398,3341.055286
152,2025,CA,CDF,JUNIPER,5/28/2025,6/2/2025,14,1,1,56.71992,2020-2025,410672.5781,6129.770645
153,2025,CA,LRA,CRUMP,9/6/2025,9/6/2025,14,3,1,55.24618,2020-2025,323953.1055,3504.120251
154,2025,CA,CDF,VAIL,8/23/2025,8/23/2025,1,3,1,54.9739,2020-2025,320769.5117,4351.845182
155,2025,CA,CDF,RED,6/26/2025,6/26/2025,10,2,1,54.064,2020-2025,344438.6758,3518.275215
156,2025,CA,CDF,JURY,7/19/2025,7/19/2025,11,1,1,53.71318,2020-2025,349840.8047,4344.070228
157,2025,CA,BLM,DEBBIE,7/16/2025,7/17/2025,14,7,1,53.37561,2020-2025,369527.6797,3886.924801
158,2025,CA,CDF,ELWOOD,7/3/2025,7/4/2025,11,4,1,52.9217,2020-2025,334789.0547,3442.888257
159,2025,CA,CDF,SHADY,7/25/2025,7/27/2025,14,3,1,52.4022,2020-2025,306591.9844,3582.086606
160,2025,CA,CCO,JACK,6/6/2025,6/6/2025,14,1,1,51.1434,2020-2025,314578.6289,3083.483474
161,2025,CA,CDF,LASSEN,8/1/2025,8/1/2025,14,1,1,50.84476,2020-2025,350206.9766,3777.60254
162,2025,CA,CDF,CLARK,8/10/2025,8/13/2025,5,3,1,50.71144,2020-2025,359752.3633,3258.940054
163,2025,CA,CDF,WALNUT,5/18/2025,5/18/2025,10,1,1,50.69104,2020-2025,329773.4844,2762.509705
164,2025,CA,CDF,HAWICK,6/19/2025,6/19/2025,14,3,1,50.6212,2020-2025,290946.0391,2818.873019
165,2025,CA,CDF,RIDER,6/18/2025,6/18/2025,14,3,1,49.86058,2020-2025,293122.9648,2843.867003
166,2025,CA,CDF,SPRINGS 3,7/11/2025,7/12/2025,10,7,1,49.86013,2020-2025,285834.2344,4416.359927
167,2025,CA,CDF,ACADEMY,5/16/2025,5/17/2025,14,8,1,49.72696,2020-2025,287444.6602,3038.434241
168,2025,CA,LRA,SANDY,4/24/2025,4/24/2025,14,4,1,48.48575,2020-2025,309725.1211,3774.673752
169,2025,CA,NPS,TOMBSTONE,8/30/2025,11/17/2025,1,6,1,48.27648,2020-2025,306097.7695,3459.735384
170,2025,CA,CDF,3-5 LITTLE,7/25/2025,7/25/2025,1,1,1,48.16375,2020-2025,342293.4688,3573.269317
171,2025,CA,BLM,BUTTER,8/26/2025,9/3/2025,1,8,1,47.95021,2020-2025,293171.0117,4273.999533
172,2025,CA,CDF,NICHOLS,7/7/2025,7/7/2025,2,3,1,47.49926,2020-2025,278573.4648,2728.528775
173,2025,CA,BLM,AURORA,7/19/2025,7/21/2025,1,7,1,47.04757,2020-2025,281932.5117,4488.114897
174,2025,CA,CDF,GRIZZLY,6/23/2025,6/25/2025,14,2,1,46.79976,2020-2025,303708.0195,2722.36149
175,2025,CA,FWS,WASHINGTON,6/23/2025,6/24/2025,2,1,1,46.71652,2020-2025,299133.1367,2499.029781
176,2025,CA,USF,JACKET,7/3/2025,7/23/2025,1,7,1,46.07977,2020-2025,330710.3281,4757.164011
177,2025,CA,CDF,OAK,8/2/2025,8/4/2025,2,3,1,45.90355,2020-2025,270959.3516,2965.613896
178,2025,CA,CCO,FOOTHILL,9/2/2025,9/2/2025,11,6,1,45.61524,2020-2025,275096.9297,2198.706194
179,2025,CA,BLM,S-14,9/1/2025,9/2/2025,14,7,1,44.3112,2020-2025,317329.4023,3947.414459
180,2025,CA,CCO,GENERAL,7/14/2025,7/14/2025,14,1,1,44.18845,2020-2025,268945.6992,4035.50391
181,2025,CA,CCO,HOWE,6/16/2025,6/16/2025,14,7,1,43.79828,2020-2025,260906.3828,2936.267662
182,2025,CA,CDF,ANCHOR,5/9/2025,5/9/2025,9,3,1,43.42168,2020-2025,273847.2227,2337.666666
183,2025,CA,BLM,MILPAS,5/24/2025,5/28/2025,10,7,1,43.19293,2020-2025,257427.3711,3571.695047
184,2025,CA,CDF,POINT,8/23/2025,8/24/2025,7,1,1,42.89072,2020-2025,299543.8828,2594.737994
185,2025,CA,CDF,ENERGY,5/12/2025,5/12/2025,2,1,1,42.8705,2020-2025,261392.3516,3777.828276
186,2025,CA,CDF,AIRLINE,6/12/2025,6/13/2025,9,5,1,42.72174,2020-2025,266984.2383,2951.339598
187,2025,CA,CDF,CARLOS,8/18/2025,8/18/2025,2,7,1,42.71249,2020-2025,261035.4648,2752.91154
188,2025,CA,CCO,KECKS ,7/25/2025,7/25/2025,14,1,1,42.70273,2020-2025,262601.5664,2405.668281
189,2025,CA,CDF,DISTRICT,7/4/2025,7/6/2025,2,1,1,41.83611,2020-2025,284300.6758,3827.582016
190,2025,CA,CDF,DUNES,4/18/2025,4/18/2025,7,1,1,41.41012,2020-2025,301833.0234,4052.954898
191,2025,CA,USF,BUTTE,8/7/2025,8/9/2025,1,8,1,40.64384,2020-2025,297798.0313,5435.314345
192,2025,CA,CDF,1-2,9/2/2025,9/2/2025,1,1,1,40.37952,2020-2025,264709.5508,2493.830589
193,2025,CA,CDF,3-22 MUCK,8/25/2025,8/27/2025,1,8,1,39.81916,2020-2025,283037.7734,3908.030421
194,2025,CA,BLM,PEARL,7/25/2025,7/25/2025,14,1,1,39.71396,2020-2025,243672.875,2691.874598
195,2025,CA,LRA,TANABE,8/23/2025,8/23/2025,14,2,1,39.56842,2020-2025,267484.4648,2718.547227
196,2025,CA,BLM,READING,6/8/2025,6/9/2025,1,3,1,39.37916,2020-2025,277068.7578,4128.684001
197,2025,CA,LRA,ROSAMOND,7/30/2025,7/31/2025,14,1,1,38.63425,2020-2025,232865.6719,3727.768905
198,2025,CA,CDF,TRAP,7/20/2025,7/24/2025,9,2,1,38.32053,2020-2025,246918.2969,3433.767684
199,2025,CA,USF,DRY,6/25/2025,7/1/2025,10,8,1,37.35918,2020-2025,242053.3867,2196.067709
200,2025,CA,CDF,JOAQUIN,9/25/2025,9/27/2025,1,3,1,36.99887,2020-2025,231121.4727,3338.546056
201,2025,CA,USF,LICK,8/29/2025,11/4/2025,1,3,1,36.69459,2020-2025,261248.7188,5014.583505
202,2025,CA,CDF,HIGH,8/25/2025,8/27/2025,10,4,1,35.69007,2020-2025,226583.7383,2485.241609
203,2025,CA,NPS,BREEZE,8/25/2025,,1,2,1,34.43386,2020-2025,224505.4219,2574.135024
204,2025,CA,CDF,RAVINE,7/3/2025,7/3/2025,9,3,1,34.37255,2020-2025,231059.6602,2906.132653
205,2025,CA,CDF,MICHIGAN,9/2/2025,9/2/2025,1,1,1,33.97209,2020-2025,224054.168,2914.308965
206,2025,CA,CDF,FOREBAY,9/2/2025,9/2/2025,1,5,1,33.85615,2020-2025,230595.9883,3204.181829
207,2025,CA,CDF,SPRINGS,9/1/2025,9/1/2025,9,1,1,33.48352,2020-2025,233912.1289,2938.291416
208,2025,CA,CCO,PANAMA,8/22/2025,8/22/2025,14,1,1,32.75241,2020-2025,199298.6289,2827.776368
209,2025,CA,USF,SPRINGS,9/5/2025,9/6/2025,14,8,1,32.74208,2020-2025,194888.9141,2701.529999
210,2025,CA,CCO,MORNING,5/18/2025,5/21/2025,14,1,1,32.22947,2020-2025,196738.0781,2772.073222
211,2025,CA,CDF,NINETY NINE,5/9/2025,5/9/2025,11,1,1,32.16321,2020-2025,219373.7422,3674.912322
212,2025,CA,CDF,VLECK,9/29/2025,9/29/2025,2,1,1,32.07587,2020-2025,212152.7969,2439.778075
213,2025,CA,CDF,BAXTER,6/3/2025,6/4/2025,1,1,1,31.69332,2020-2025,201837.5313,3468.636907
214,2025,CA,CDF,5-4,8/27/2025,8/27/2025,1,3,1,31.44775,2020-2025,259027.1641,5170.094441
215,2025,CA,CDF,STONEWALL,8/31/2025,8/31/2025,7,7,1,31.06484,2020-2025,194774.9414,2252.738934
216,2025,CA,LRA,LAKE,6/10/2025,6/11/2025,14,1,1,30.47568,2020-2025,184714.793,1737.651405
217,2025,CA,LRA,OLIVAS,1/8/2025,1/9/2025,14,2,1,30.10198,2020-2025,178677.457,3702.304442
218,2025,CA,CDF,PANOCHE,4/20/2025,4/20/2025,11,5,1,29.94425,2020-2025,188571.6055,2500.771991
219,2025,CA,USF,HIDDEN,6/10/2025,6/15/2025,1,8,1,29.67354,2020-2025,159451.6523,1799.993799
220,2025,CA,USF,WILLOW,6/11/2025,6/14/2025,1,4,1,29.48021,2020-2025,214780.2422,3122.366933
221,2025,CA,CCO,SPRINGS,10/8/2025,10/10/2025,14,1,1,29.3266,2020-2025,178766.7305,3718.672797
222,2025,CA,LRA,KRN-25-25974,6/1/2025,6/1/2025,14,1,1,28.55898,2020-2025,175120.0703,2133.38387
223,2025,CA,CDF,STEELE 2,7/9/2025,7/9/2025,14,4,1,28.41091,2020-2025,162934.4102,2788.90315
224,2025,CA,CDF,CORN,5/18/2025,5/19/2025,9,3,1,27.93816,2020-2025,176052.4063,2233.073646
225,2025,CA,CDF,TORO,5/14/2025,5/15/2025,2,3,1,27.76788,2020-2025,163016.5313,1948.626913
226,2025,CA,CCO,LOKERN ,6/21/2025,6/21/2025,14,1,1,27.76694,2020-2025,169523.0078,1973.608959
227,2025,CA,CDF,RANCHO,7/5/2025,7/5/2025,2,7,1,27.51352,2020-2025,168500.418,2106.25723
228,2025,CA,USF,PASS,9/17/2025,9/20/2025,10,6,1,27.19731,2020-2025,169368.457,3554.020456
229,2025,CA,CDF,PANOCHE,5/18/2025,5/18/2025,11,4,1,27.18991,2020-2025,126813.7422,1898.531034
